Fri Oct 17 11:15:34 2025    profiling\profile.bin

         8254009 function calls (8246265 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _generics.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      143    0.002    0.000    0.002    0.000 {built-in method pygame.key.get_pressed}
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
       30    0.000    0.000    0.002    0.000 typing.py:1762(copy_with)
        1    0.000    0.000    0.002    0.002 more.py:1(<module>)
     8766    0.002    0.000    0.002    0.000 data.py:143(v_0)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
    10776    0.002    0.000    0.002    0.000 {method 'isalnum' of 'str' objects}
      572    0.002    0.000    0.002    0.000 {built-in method pygame.draw.line}
      143    0.002    0.000    0.002    0.000 numeric.py:1420(normalize_axis_tuple)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      144    0.000    0.000    0.002    0.000 __init__.py:296(<genexpr>)
      115    0.001    0.000    0.002    0.000 dataclasses.py:768(_get_field)
      266    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      715    0.002    0.000    0.002    0.000 {built-in method pygame.draw.circle}
